name,address,rating,review_count,rating_summary,facilites,price,offer
SPOT ON 72974 Gokul Lodge SPOT,"Paud Rd, Pune", , , ,  Parking Facility  Toiletries  Attached Bathroom ,Rs. 699,40% off
OYO 63926 Hotel Chintamani,"Near Rajgad Water Park, Kelawade, Pune",3, ,(4 Ratings),  In-house Restaurant  Attached Bathroom  Card Payment ,Rs. 499,40% off
OYO 46877 Hotel Platinum ,"Near Bharat Petroleum, Junnar, Pune", , , ,  Parking Facility  Kitchen  Buzzer/Door Bell ,Rs. 599,40% off
OYO 36705 Laxmi Lodge New,"Near Shivparvati Mangal Karyalay Narhe, Pune", , ,(79 Ratings),  Parking Facility  Kitchen  Intercom ,Rs. 700,40% off
OYO 70948 Sai Vatika,"Near Beverly Hills Park, Pune",3.4, ,(36 Ratings),  Seating Area  Single Bed  King Sized Bed ,Rs. 799,40% off
SPOT ON 67244 Raviraj Lodge SPOT,"opposite to Yashwant mangal karlyalay., Pune", , , ,  Parking Facility  AC  Attached Bathroom ,Rs. 499,40% off
OYO 14630 panchwati,"Near Navodaya Vidyalaya, Pune", , , ,  Parking Facility  Queen Sized Bed  TV ,Rs. 499,60% off
SPOT ON 65339 New Royal Lodge SPOT,"Near Trinity college, Kondhwa Budruk, Pune", , ,(554 Ratings),  Center Table  Fan  Fan ,Rs. 399,40% off
SPOT ON 60621 Sai Lodge SPOT,"Near  Kunjirwadi, Pune", , ,(92 Ratings),  Intercom  AC  Daily Housekeeping ,Rs. 399,40% off
SPOT ON 66491 Hotel Om Lodge  SPOT,"Near Mukta A2 Cinema, Pune", , ,(34 Ratings),  AC  TV  AC ,Rs. 399,40% off
SPOT ON 41411 Seeprit Lodge SPOT,"Near Ghera Sinhagad Road, Khadakwasla, Pune",3, ,(20 Ratings),  Fan  First Aid  Buzzer/Door Bell ,Rs. 399,40% off
SPOT ON 63971 Hotel Atithi SPOT,"Mumbai Satara Road, Shindevadi, Pune", , , ,  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 399,40% off
SPOT ON 66458 Hotel Vighnaghar Lodge SPOT,"Near Vitthal Temple, Ozar, Pune", , , ,  AC  TV  AC ,Rs. 399,40% off
SPOT ON 61006 Swarg Lodge SPOT,"Fursungi Road, Pune,",3.1, ,(62 Ratings),  Fan ,Rs. 399,40% off
SPOT ON 67117 Shivraj Lodging SPOT,"Near Baneshwar Van Udyan, Nasrapur, Pune",3.4, ,(23 Ratings),  Parking Facility  AC  Attached Bathroom ,Rs. 412,40% off
SPOT ON 63989 Hotel Kunal Lodge SPOT,"Khapurhol, Khedshivapur , Pune", , ,(154 Ratings),  Parking Facility  Buzzer/Door Bell  Attached Bathroom ,Rs. 412,40% off
OYO 70336 Royal Orbit Blue,"Near Omkar Society, Pimple Nilakh, Pune", , ,(138 Ratings),  Seating Area  Single Bed  King Sized Bed ,Rs. 799,40% off
SPOT ON 64709 Omkar Lodge SPOT,"Near Mayureshwar Ganpati Mandir, Morgaon Chowk, Pune",3.1, ,(21 Ratings),  Parking Facility  In-house Restaurant  Attached Bathroom ,Rs. 499,40% off
SPOT ON 60754 Hotel Wonder Hills SPOT,"Pirangut Rd, Hinjewadi, Pune", , ,(588 Ratings),  Intercom  Fan  Daily Housekeeping ,Rs. 499,40% off
SPOT ON 65533 Shraddha Lodging SPOT,"Near Ghotewade Phata, Ambarwet, Pune", , ,(32 Ratings),  Parking Facility  In-house Restaurant  Attached Bathroom ,Rs. 499,40% off
SPOT ON 64144 Hotel Trimurti SPOT,"Near Ramnagar Road, Pune", , ,(168 Ratings),  Fan  Queen Sized Bed ,Rs. 499,40% off
SPOT ON 65854 Hotel Lenyadri International SPOT,"Near Datt Mandir Aldare, Lenyadri Ganapati Road, Karjat",3.2, ,(20 Ratings),  AC  TV  AC ,Rs. 499,40% off
SPOT ON 67466 Shantai Lodge SPOT,"Near Jejuri MSRTC Bus Stand, Pune", , , ,  Attached Bathroom  Daily Housekeeping  AC ,Rs. 499,40% off
SPOT ON 68003 Golden Saag Resort  SPOT,"Panshet Road, Pune", , , ,  Parking Facility  AC  Attached Bathroom ,Rs. 499,40% off
SPOT ON 64774 Shivtara Lodge SPOT,"Near Morgaon Ganpati Mandir, Morgaon, Pune", , , ,  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
OYO 67207 Hotel Sk49,"Near Sai Baba Mandir, Rajgurunagar, Pune", , , ,  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
OYO 29622 Naivedya Saver,"Near Kailas Bhel, Khed Shivapur, Pune",3, ,(23 Ratings),  Intercom  Center Table  Daily Housekeeping ,Rs. 499,62% off
SPOT ON 66384 Hotel Holy Pipe SPOT,"Khanapur, Pune",3.4, ,(13 Ratings),  AC  Buzzer/Door Bell  Banquet Hall ,Rs. 499,40% off
SPOT ON 65435 Virndavan Lodging SPOT,"Near PK Biryani, Khed Shivapur, Haveli, Pune",3.3, ,(5 Ratings),  Parking Facility  In-house Restaurant  Buzzer/Door Bell ,Rs. 499,40% off
SPOT ON 65051 Greenwood Lodge  SPOT,"Near Pirangut, Pune-Paud Road, Ambadvet, Pune", , ,(12 Ratings),  Parking Facility  Intercom  Fan ,Rs. 499,40% off
SPOT ON 67573 Royal Lodge SPOT,"Alandi-Markal Road, Pune",3.1, ,(38 Ratings),  Parking Facility  AC  Attached Bathroom ,Rs. 499,40% off
OYO 65406 Disha's Dhaba Deluxe,"Mulshi, Pune", , , ,  Parking Facility  In-house Restaurant  Attached Bathroom ,Rs. 499,40% off
OYO 46263 Raida Lodge ,"Opp. HP Petrol Pump, Pune", , ,(58 Ratings),  Parking Facility  AC  TV ,Rs. 499,40% off
SPOT ON 67671 Khushi Lodging SPOT,"Near Coldman Logistics, Wadaki Gaon, Pune", , ,(136 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
OYO 48843 Kavya Lodge  Saver,"Near MIT Academy Of Engineering, Alandi, Pune", , ,(69 Ratings),  Parking Facility  Fan  Buzzer/Door Bell ,Rs. 499,40% off
SPOT ON 67339 Hotel Bhavani SPOT,"Aptale Road, Somatwadi, Pune", , ,(22 Ratings),  AC  TV ,Rs. 499,40% off
SPOT ON 63815 Shree Gurunath Lodge SPOT,"Near Shantinath Maharaj Math, Alandi, Pune", , ,(54 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
SPOT ON 66644 Yash Lodging SPOT,"Near Vighnahar Temple, Pune", , ,(4 Ratings),  AC  TV ,Rs. 499,40% off
SPOT ON 43864 Shubh Ratna Lodge  SPOT,"Near Bham Garden, Khed, Pune", , , ,  Fan  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
SPOT ON 67136 Lake View Lodge SPOT," Near At Post Kudje, Bahule, Pune",3.2, ,(41 Ratings),  Parking Facility  AC  Attached Bathroom ,Rs. 499,40% off
SPOT ON 64585 Buninda Holiday Resort SPOT,"Pirangut, Pune", , ,(326 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
SPOT ON 64730 Shivjal City SPOT,"Naikvomwadi Faltan, Pune", , , ,  Parking Facility  AC  Attached Bathroom ,Rs. 499,40% off
SPOT ON 37095 Sai Sidhi Lodge SPOT,"Katraj Bypass Road, Handewadi, Pune", , ,(895 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
Capital O 65594 Hotel Meghmalhar,"Near Jejuri Post office, Pune", , ,(145 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 63518 Eon Hospitality ,"Near Zolo Horozon, Rajaram Patil Nagar, Pune", , ,(149 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 599,40% off
SPOT ON 68815 Hotel Sarthak SPOT,"Near Wagheshwar Temple, Lohegaon, Pune", , ,(355 Ratings),  Parking Facility  Fan  Fan ,Rs. 600,40% off
OYO 65175 Hotel Anand ,"Near Chhatrapati Shivaji Maharaj Square, Pune",3, ,(1 Ratings),  TV  AC  TV ,Rs. 599,40% off
SPOT ON 71935 Deepali Garden Lodge SPOT,"Shindewadi, Pune", , , ,  Attached Bathroom  Daily Housekeeping  CCTV Cameras ,Rs. 499,40% off
SPOT ON 67899 Sahyadri Lodge SPOT,"Near BOI Bank, Dhangarwadi, Pune", , ,(1 Ratings),  Intercom  Twin Single Bed  Hair Dryer ,Rs. 600,40% off
SPOT ON 65463 Hotel Kalash  SPOT,"Aale phata, Pune",3.3, ,(5 Ratings),  Parking Facility  AC  First Aid ,Rs. 499,40% off
OYO 71831 Mohan Lodging,"Gotamal Rd, Pune", , , ,  Parking Facility  Buzzer/Door Bell  Queen Sized Bed ,Rs. 499,40% off
OYO 44975 Hotel Trupti ,"Banglore Higway, Khed-Shivapur Toll Plaza, Pune",3.3, ,(107 Ratings),  First Aid  Queen Sized Bed  Attached Bathroom ,Rs. 599,40% off
OYO 35426 Hotel Rana,"Near N.D.A Police Chowki, Bahule Road, Pune", , ,(201 Ratings),  Parking Facility  Kitchen  Queen Sized Bed ,Rs. 599,60% off
SPOT ON 61130 Good Luck Lodge SPOT,"Near Gestamp Company, Takwe Bk, Pune", , ,(17 Ratings),  Parking Facility  Wheelchair Accessible  Fan ,Rs. 600,40% off
OYO 63323 Hotel Galaxy Inn ,"Near Suvidha Commercial Hub, Kolhemala, Narayangoan", , ,(41 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 599,40% off
OYO 40162 Hotel Tiranga,"Near Kalp Residency, Pune", , , ,  Parking Facility  First Aid  Buzzer/Door Bell ,Rs. 599,40% off
OYO 67005 Shiv Malhar Hotel Deluxe,"Near The Cake and Cream Factory, Sudhavadi, Pune", , , ,  Parking Facility  First Aid  Attached Bathroom ,Rs. 599,40% off
SPOT ON 66461 Hotel Swad Nisarg SPOT,"Near Central Bank Of India Customer Service Centre, Pune", , , ,  TV  AC ,Rs. 600,40% off
OYO 30608 Hotel Kohinoor,"Near Induri Medical Center, Sudhavadi, Pune", , ,(21 Ratings),  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 599,54% off
OYO 3847 EMA Hospitality,"Near Oracle Financial Service Ltd, Bavdhan, Pune", , ,(84 Ratings),  Parking Facility  Kitchen  Geyser ,Rs. 599,40% off
OYO 33462 Sai Lodge,"Near Sairaj Garden, Yelwadi Road, Pune", , ,(24 Ratings),  Parking Facility  Kitchen  Queen Sized Bed ,Rs. 599,40% off
SPOT ON 72417 Sk Lodge  SPOT,"Chakan - Alandi Rd, Pune", , , ,  Toiletries  Fan  Buzzer/Door Bell ,Rs. 499,40% off
OYO 13583 Hotel Paradise Inn,"Near Bank of Maharashtra, Talegaon Dabhade, Pune",3.4, ,(71 Ratings),  Parking Facility  Kitchen  TV ,Rs. 601,60% off
OYO 69270 Ar Rooms Deluxe,"Near Pankaj Hospital, Pune", , ,(269 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 599,40% off
OYO 72593 Adarsh Farm,"Alandi, Pune", , , ,  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 499,40% off
OYO 71151 Hotel 7 Treats,"Near SNBP School, Mundhwa - Manjari Road, Pune",3.4, ,(201 Ratings),  Parking Facility  Fan  First Aid ,Rs. 499,40% off
OYO Home 70067 Peaceful Stay Swargate,"Balajinagar Dhankawadi, Pune", , ,(535 Ratings),  Parking Facility  Partial Power backup  Geyser ,Rs. 898,40% off
OYO Home 49461 Enticing Stay Fursungi Road,"Saswad Rd, Fursungi, Pune", , ,(760 Ratings),  Kitchen  Geyser  Shower Head ,Rs. 898,40% off
SPOT ON 38096 Hotel Aangan SPOT,"Near VN'S Cinemas, Pune", , , ,  AC  First Aid  Daily Housekeeping ,Rs. 499,40% off
OYO 17342 Aditya Service Apartment,"Near Xion Mall, Pune",3, ,(34 Ratings),  Parking Facility  Attached Bathroom  TV ,Rs. 700,58% off
SPOT ON 38603 Niwant Lodge SPOT,"Pandharpur Road, Pune", , ,(636 Ratings),  Fan  Attached Bathroom  Daily Housekeeping ,Rs. 499,40% off
OYO 61337 Hotel Mauli,"Near KK care hospital, Pune- Alandi Road, Pune", , ,(68 Ratings),  Parking Facility  Fan  First Aid ,Rs. 699,40% off
Capital O 67056 Mybhumi Agro Resort ,"Near Rajendra Agro Agencies, Bankar Phata, Pune", , ,(12 Ratings),  TV  AC ,Rs. 999,40% off
SPOT ON 66795 Hotel Abhijeet SPOT,"Near Mhasoba Temple, Dumbarwadi, Pune", , ,(2 Ratings),  TV  AC ,Rs. 699,40% off
Capital O 38128 Omkar Executive,"Near Selfie Park, Pune", , ,(1012 Ratings),  Daily Housekeeping  Elevator  AC ,Rs. 1000,40% off
Capital O 2586 Hotel Vikrant Residency,"Near E Square Mall, Pimpri, Pune", , ,(786 Ratings),  Hair Dryer  Coffee/Tea Maker  Seating Area ,Rs. 999,42% off
Capital O 37456 Arusai,"Near Aditya Birla Hospital, Thergaon, Pune", , ,(467 Ratings),  Intercom  First Aid  Fan ,Rs. 999,40% off
OYO 63407 Hotel Rajawat Lodging,"NH48 , Pargaon, Satara", , , ,  Parking Facility  Attached Bathroom  TV ,Rs. 499,40% off
Capital O 11207 Gharonda Residency Deluxe,"Morewadi, Pimpri, Pune", , ,(1008 Ratings),  Center Table  Center Table  Seating Area ,Rs. 999,40% off
OYO 36896 Sanvi Resort,"Ghera Sinhagad, Pune",3.4, ,(50 Ratings),  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 699,40% off
OYO 46538 Hotel Gokul Lodge,"Near New Golden Bakery, Wadgaon Bridge, Pune", , ,(277 Ratings),  Intercom  Fan  Queen Sized Bed ,Rs. 699,40% off
OYO 40635 Hotel Shloka,"Near Dange Chowk, Pune", , ,(61 Ratings),  Parking Facility  Queen Sized Bed  Attached Bathroom ,Rs. 700,40% off
OYO 19315 Samudra Executive,"Near Rajyog Mangal Karyalay, Hadapsar, Pune", , ,(212 Ratings),  Queen Sized Bed  Attached Bathroom  Daily Housekeeping ,Rs. 700,57% off
OYO 71465 Gangotri Hill Top Resort,"Near Bopdev Temple, Askarwadi, Pune",3, ,(1 Ratings),  Kitchen  Attached Bathroom  TV ,Rs. 600,40% off
OYO 71056 Bramha Lodge,"Near Podar International School, Ambegaon BK, Pune",3, ,(5 Ratings),  Parking Facility  First Aid  Attached Bathroom ,Rs. 600,40% off
OYO 70264 Hotel Vrindavan,"Narhe Ambegaon Road, Narhe, Pune", , , ,  Parking Facility  Kitchen  First Aid ,Rs. 600,40% off
OYO 68503 Asha Inn,"Near HP Petrol pump, Satara road, Pune", , ,(28 Ratings),  Toiletries  Queen Sized Bed  Attached Bathroom ,Rs. 600,40% off
OYO 7275 Excellent Homes,"Near Varsha Park, Baner Road, Pune", , ,(11 Ratings),  Parking Facility  Kitchen  AC ,Rs. 799,74% off
OYO 27740 Anantha Residency Deluxe,"Near Shree Sai Hospital, Pune", , ,(20 Ratings),  Center Table  Parking Facility  Kitchen ,Rs. 800,72% off
OYO 67880 Sai Executive ,"Opp Atul Nagar, Warje, Pune", , ,(87 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 69560 Hotel Kaveri Lodge,"Dighi Road, Geeta Society, Pune", , ,(146 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 66600 Hotel Shivsai Palace,"Near Eon IT Park, Down Town Road, Kharadi, Pune", , ,(116 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 16007 SK Executive Deluxe,"Near Tanaji Patil Nagar, Pune", , ,(76 Ratings),  Parking Facility  Fan  TV ,Rs. 799,65% off
OYO 70002 Hotel Hill View Deluxe,"Mulshi-Paud Road, Valane", , ,(1 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 699,40% off
SPOT ON 67488 Hotel Trimbak Raj SPOT,"Near Gurukrupa Hostel, Varangwadi, Pune", , ,(7 Ratings),  TV  AC ,Rs. 900,40% off
OYO 13283 Hotel Gargi Inn,"Near Colombia Asia Hospital, Kranti Chowk, Pune", , ,(47 Ratings),  Parking Facility  AC  TV ,Rs. 899,51% off
SPOT ON 61450 Hotel Sai Palace Lodging Deluxe,"Chakan Rd, Induri, Pune", , ,(39 Ratings),  Parking Facility  Card Payment  TV ,Rs. 900,40% off
SPOT ON 62264 Hotel Chul Jatra  SPOT,"Near Ray Steel Group Mahaganpati Steel, Pune",3.4, ,(75 Ratings),  Parking Facility  In-house Restaurant  Kitchen ,Rs. 412,40% off
OYO 18270 Eon Studio Apartments,"Near Wai Urban Bank, Dattanagar Katraj, Pune", , ,(18 Ratings),  AC  TV  Queen Sized Bed ,Rs. 899,52% off
OYO 11566 Shree Swami Apartment,"Near Bachpan school, Shivatej Nagar, Pune", , ,(75 Ratings),  Parking Facility  AC  TV ,Rs. 899,57% off
OYO 63548 Hotel Zri 24,"Near Phoenix Market City, Pune", , ,(85 Ratings),  Attached Bathroom  Daily Housekeeping  TV ,Rs. 999,40% off
OYO 72015 Sai Resort,"Dst- Pune, Pune", , , ,  Parking Facility  Attached Bathroom  TV ,Rs. 799,40% off
OYO 45583 Hotel Galaxy,"Near Koregaon Park, Lane Number 7, Pune", , ,(277 Ratings),  Attached Bathroom  Daily Housekeeping  CCTV Cameras ,Rs. 1000,40% off
OYO 11545 Hotel Gargi executive,"Dnyaneshwar Paduka Chowk, Shivaji Nagar, Pune", , ,(152 Ratings),  Parking Facility  Queen Sized Bed  TV ,Rs. 999,64% off
OYO 40687 Silver Star Executive,"Near Wadgaon-Narhe Road, Pune", , ,(17 Ratings),  Parking Facility  First Aid  Fan ,Rs. 1000,40% off
OYO 47376 Ekab Hospitality,"Behind Bhagyashree Executive, Pune", , ,(210 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 1000,40% off
OYO 28674 Orchid Platinum Guest House,"Near Aundh IT Park, Pune", , ,(415 Ratings),  Parking Facility  Kitchen  Queen Sized Bed ,Rs. 1000,40% off
Capital O 48136 Sahara,"Senapati Bapat Road, Pune", , ,(1069 Ratings),  Center Table  Parking Facility  Kitchen ,Rs. 1600,40% off
OYO 22218 Aero Studio,"Near Sanjay Park, Pune", , ,(295 Ratings),  Kitchen  AC  TV ,Rs. 1300,41% off
OYO 11499 Hotel Padma Krishna,"Manglawar Peth, Barne Road, Pune", , ,(502 Ratings),  Seating Area  Intercom  Single Bed ,Rs. 1299,50% off
Capital O 62219 Hotel Raigad ,"Near Surya Hospital, Shikrapur, Pune", , ,(319 Ratings),  Parking Facility  Kitchen  Bar ,Rs. 899,40% off
OYO 64438 Blue Inn,"Near Kharadi Bypass Police Chowky, Ubale Nagar, Pune", , ,(146 Ratings),  Parking Facility  Attached Bathroom  Daily Housekeeping ,Rs. 799,40% off
OYO 19891 Vansha Exotica,"Near Sukhwani Scarlet, Wagholi, Pune", , ,(79 Ratings),  Attached Bathroom  Daily Housekeeping  TV ,Rs. 999,40% off
OYO 40158 Rahul Executive,"Phulgaon Phata, Lonikand, Pune", , ,(65 Ratings),  Seating Area  Single Bed  King Sized Bed ,Rs. 1000,40% off
OYO 24125 Hotel Aakash,"Near Diamond Water Park, Wagholi, Pune", , ,(8 Ratings),  Parking Facility  Kitchen  Bar ,Rs. 2413,40% off
OYO Home 69892 Elegant Stay,"Near HP Petrol Pump, Pimpri-Chinchwad, Pune", , ,(126 Ratings),  AC  Shower Head  Attached Bathroom , , 
